G,G_name,G_bits,X,X_name,X_bits,Y,Y_name,Y_bits,result,result_name,result_bits,program,program_is_lambda16_term
0,FALSE,'0000,0,FALSE,'0000,0,FALSE,'0000,0,FALSE,'0000,1,yes
0,FALSE,'0000,1,q AND NOT p,'0010,0,FALSE,'0000,0,FALSE,'0000,1,yes
0,FALSE,'0000,2,AND,'1000,0,FALSE,'0000,0,FALSE,'0000,1,yes
0,FALSE,'0000,3,Q,'1010,0,FALSE,'0000,0,FALSE,'0000,1,yes
0,FALSE,'0000,4,p AND NOT q,'0100,0,FALSE,'0000,0,FALSE,'0000,1,yes
0,FALSE,'0000,5,XOR,'0110,0,FALSE,'0000,0,FALSE,'0000,1,yes
0,FALSE,'0000,6,P,'1100,0,FALSE,'0000,0,FALSE,'0000,1,yes
0,FALSE,'0000,7,OR,'1110,0,FALSE,'0000,0,FALSE,'0000,1,yes
0,FALSE,'0000,8,NOR,'0001,0,FALSE,'0000,0,FALSE,'0000,1,yes
0,FALSE,'0000,9,NOT P,'0011,0,FALSE,'0000,0,FALSE,'0000,1,yes
0,FALSE,'0000,10,XNOR,'1001,0,FALSE,'0000,0,FALSE,'0000,1,yes
0,FALSE,'0000,11,IMPLIES (p -> q),'1011,0,FALSE,'0000,0,FALSE,'0000,1,yes
0,FALSE,'0000,12,NOT Q,'0101,0,FALSE,'0000,0,FALSE,'0000,1,yes
0,FALSE,'0000,13,NAND,'0111,0,FALSE,'0000,0,FALSE,'0000,1,yes
0,FALSE,'0000,14,CONVERSE (q -> p),'1101,0,FALSE,'0000,0,FALSE,'0000,1,yes
0,FALSE,'0000,15,TRUE,'1111,0,FALSE,'0000,0,FALSE,'0000,1,yes
0,FALSE,'0000,0,FALSE,'0000,1,q AND NOT p,'0010,0,FALSE,'0000,1,yes
0,FALSE,'0000,1,q AND NOT p,'0010,1,q AND NOT p,'0010,0,FALSE,'0000,1,yes
0,FALSE,'0000,2,AND,'1000,1,q AND NOT p,'0010,0,FALSE,'0000,1,yes
0,FALSE,'0000,3,Q,'1010,1,q AND NOT p,'0010,0,FALSE,'0000,1,yes
0,FALSE,'0000,4,p AND NOT q,'0100,1,q AND NOT p,'0010,0,FALSE,'0000,1,yes
0,FALSE,'0000,5,XOR,'0110,1,q AND NOT p,'0010,0,FALSE,'0000,1,yes
0,FALSE,'0000,6,P,'1100,1,q AND NOT p,'0010,0,FALSE,'0000,1,yes
