program,gate,gate_name,gate_bits,cells,is_lambda16_term,short_form,example_G,example_X,example_Y
1,0,FALSE,'0000,396,yes,λpqab.b,FALSE,FALSE,FALSE
2,0,FALSE,'0000,16,no,λpqab.p b (q b b),q AND NOT p,q AND NOT p,FALSE
3,0,FALSE,'0000,16,no,λpqab.p (q b b) b,q AND NOT p,AND,FALSE
4,0,FALSE,'0000,8,no,λpqab.q b b,q AND NOT p,Q,FALSE
5,0,FALSE,'0000,8,no,λpqab.p (q b b) (q b b),q AND NOT p,XOR,FALSE
6,0,FALSE,'0000,8,no,λpqab.p b b,q AND NOT p,P,FALSE
7,1,q AND NOT p,'0010,92,yes,λpqab.p b (q a b),q AND NOT p,FALSE,q AND NOT p
8,0,FALSE,'0000,4,no,λpqab.p (p b (q a b)) (q b (p b (q a b))),q AND NOT p,q AND NOT p,q AND NOT p
9,1,q AND NOT p,'0010,4,no,λpqab.p (q b (p b (q a b))) (p b (q a b)),q AND NOT p,AND,q AND NOT p
10,0,FALSE,'0000,4,no,λpqab.q b (p b (q a b)),q AND NOT p,Q,q AND NOT p
11,1,q AND NOT p,'0010,4,no,λpqab.p (q (p b (q a b)) b) (p b (q a b)),q AND NOT p,p AND NOT q,q AND NOT p
12,0,FALSE,'0000,4,no,λpqab.p (q (p b (q a b)) b) (q b (p b (q a b))),q AND NOT p,XOR,q AND NOT p
13,1,q AND NOT p,'0010,4,no,λpqab.p b (p b (q a b)),q AND NOT p,P,q AND NOT p
14,0,FALSE,'0000,4,no,λpqab.p b (q b (p b (q a b))),q AND NOT p,OR,q AND NOT p
15,1,q AND NOT p,'0010,4,no,λpqab.p (p b (q a b)) (q (p b (q a b)) b),q AND NOT p,NOR,q AND NOT p
16,0,FALSE,'0000,4,no,λpqab.p (p b (q a b)) b,q AND NOT p,NOT P,q AND NOT p
17,1,q AND NOT p,'0010,4,no,λpqab.p (q b (p b (q a b))) (q (p b (q a b)) b),q AND NOT p,XNOR,q AND NOT p
18,0,FALSE,'0000,4,no,λpqab.p (q b (p b (q a b))) b,q AND NOT p,IMPLIES (p -> q),q AND NOT p
19,1,q AND NOT p,'0010,4,no,λpqab.q (p b (q a b)) b,q AND NOT p,NOT Q,q AND NOT p
20,0,FALSE,'0000,4,no,λpqab.p (q (p b (q a b)) b) b,q AND NOT p,NAND,q AND NOT p
21,1,q AND NOT p,'0010,4,no,λpqab.p b (q (p b (q a b)) b),q AND NOT p,CONVERSE (q -> p),q AND NOT p
22,2,AND,'1000,92,yes,λpqab.p (q a b) b,q AND NOT p,FALSE,AND
23,2,AND,'1000,4,no,λpqab.p (p (q a b) b) (q b (p (q a b) b)),q AND NOT p,q AND NOT p,AND
24,0,FALSE,'0000,4,no,λpqab.p (q b (p (q a b) b)) (p (q a b) b),q AND NOT p,AND,AND
25,0,FALSE,'0000,4,no,λpqab.q b (p (q a b) b),q AND NOT p,Q,AND
26,2,AND,'1000,4,no,λpqab.p (q (p (q a b) b) b) (p (q a b) b),q AND NOT p,p AND NOT q,AND
27,2,AND,'1000,4,no,λpqab.p (q (p (q a b) b) b) (q b (p (q a b) b)),q AND NOT p,XOR,AND
28,0,FALSE,'0000,4,no,λpqab.p b (p (q a b) b),q AND NOT p,P,AND
29,0,FALSE,'0000,4,no,λpqab.p b (q b (p (q a b) b)),q AND NOT p,OR,AND
30,2,AND,'1000,4,no,λpqab.p (p (q a b) b) (q (p (q a b) b) b),q AND NOT p,NOR,AND
31,2,AND,'1000,4,no,λpqab.p (p (q a b) b) b,q AND NOT p,NOT P,AND
32,0,FALSE,'0000,4,no,λpqab.p (q b (p (q a b) b)) (q (p (q a b) b) b),q AND NOT p,XNOR,AND
33,0,FALSE,'0000,4,no,λpqab.p (q b (p (q a b) b)) b,q AND NOT p,IMPLIES (p -> q),AND
34,2,AND,'1000,4,no,λpqab.q (p (q a b) b) b,q AND NOT p,NOT Q,AND
35,2,AND,'1000,4,no,λpqab.p (q (p (q a b) b) b) b,q AND NOT p,NAND,AND
36,0,FALSE,'0000,4,no,λpqab.p b (q (p (q a b) b) b),q AND NOT p,CONVERSE (q -> p),AND
37,3,Q,'1010,88,yes,λpqab.q a b,q AND NOT p,FALSE,Q
38,2,AND,'1000,4,no,λpqab.p (q a b) (q b (q a b)),q AND NOT p,q AND NOT p,Q
39,1,q AND NOT p,'0010,4,no,λpqab.p (q b (q a b)) (q a b),q AND NOT p,AND,Q
40,0,FALSE,'0000,4,no,λpqab.q b (q a b),q AND NOT p,Q,Q
41,3,Q,'1010,4,no,λpqab.p (q (q a b) b) (q a b),q AND NOT p,p AND NOT q,Q
42,2,AND,'1000,4,no,λpqab.p (q (q a b) b) (q b (q a b)),q AND NOT p,XOR,Q
43,0,FALSE,'0000,4,no,λpqab.p b (q b (q a b)),q AND NOT p,OR,Q
44,3,Q,'1010,4,no,λpqab.p (q a b) (q (q a b) b),q AND NOT p,NOR,Q
45,1,q AND NOT p,'0010,4,no,λpqab.p (q b (q a b)) (q (q a b) b),q AND NOT p,XNOR,Q
46,0,FALSE,'0000,4,no,λpqab.p (q b (q a b)) b,q AND NOT p,IMPLIES (p -> q),Q
47,3,Q,'1010,4,no,λpqab.q (q a b) b,q AND NOT p,NOT Q,Q
48,2,AND,'1000,4,no,λpqab.p (q (q a b) b) b,q AND NOT p,NAND,Q
49,1,q AND NOT p,'0010,4,no,λpqab.p b (q (q a b) b),q AND NOT p,CONVERSE (q -> p),Q
50,4,p AND NOT q,'0100,92,yes,λpqab.p (q b a) b,q AND NOT p,FALSE,p AND NOT q
51,4,p AND NOT q,'0100,4,no,λpqab.p (p (q b a) b) (q b (p (q b a) b)),q AND NOT p,q AND NOT p,p AND NOT q
52,4,p AND NOT q,'0100,4,no,λpqab.p (q b (p (q b a) b)) (p (q b a) b),q AND NOT p,AND,p AND NOT q
53,4,p AND NOT q,'0100,4,no,λpqab.q b (p (q b a) b),q AND NOT p,Q,p AND NOT q
54,0,FALSE,'0000,4,no,λpqab.p (q (p (q b a) b) b) (p (q b a) b),q AND NOT p,p AND NOT q,p AND NOT q
55,0,FALSE,'0000,4,no,λpqab.p (q (p (q b a) b) b) (q b (p (q b a) b)),q AND NOT p,XOR,p AND NOT q
56,0,FALSE,'0000,4,no,λpqab.p b (p (q b a) b),q AND NOT p,P,p AND NOT q
57,0,FALSE,'0000,4,no,λpqab.p b (q b (p (q b a) b)),q AND NOT p,OR,p AND NOT q
58,4,p AND NOT q,'0100,4,no,λpqab.p (p (q b a) b) (q (p (q b a) b) b),q AND NOT p,NOR,p AND NOT q
59,4,p AND NOT q,'0100,4,no,λpqab.p (p (q b a) b) b,q AND NOT p,NOT P,p AND NOT q
60,4,p AND NOT q,'0100,4,no,λpqab.p (q b (p (q b a) b)) (q (p (q b a) b) b),q AND NOT p,XNOR,p AND NOT q
